type,title,platform,url
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-6_1549959096_1.jpeg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-7_1549959098_1.jpeg
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-7_1549959098_1.jpeg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-8_1549959100_1.jpeg
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-8_1549959100_1.jpeg
screenshot,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/752590-9_1549959101_1.jpeg
screenshot_thumbnail,"A Plague Tale: Innocence PC Steam CD Key",Steam,https://static.kinguin.net/media/category/7/5/cache/200x120/752590-9_1549959101_1.jpeg
cover,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_Plagakinguin2.jpeg
thumbnail,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/_Plagakinguin1.jpg
screenshot,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/60cb01862adc85b8f136faa5_e9fb3325c187625710eb967e2589338d.jpg
screenshot_thumbnail,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/60cb01862adc85b8f136faa5_e9fb3325c187625710eb967e2589338d.jpg
screenshot,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/60cb01862adc85b8f136faa5_c59b019ab670cac264ae5b4fa3b5a17b.jpg
screenshot_thumbnail,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/60cb01862adc85b8f136faa5_c59b019ab670cac264ae5b4fa3b5a17b.jpg
screenshot,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/60cb01862adc85b8f136faa5_a7cf745dc4b575a117641e62dc20d94c.jpg
screenshot_thumbnail,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/60cb01862adc85b8f136faa5_a7cf745dc4b575a117641e62dc20d94c.jpg
screenshot,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/60cb01862adc85b8f136faa5_591dfb55bcd4eacda30a1d33f2c8405f.jpg
screenshot_thumbnail,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/60cb01862adc85b8f136faa5_591dfb55bcd4eacda30a1d33f2c8405f.jpg
screenshot,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/media/images/products/60cb01862adc85b8f136faa5_83c345160acf68311362461e8e50e5ea.jpg
screenshot_thumbnail,"A Plague Tale: Requiem Steam CD Key",Steam,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/60cb01862adc85b8f136faa5_83c345160acf68311362461e8e50e5ea.jpg
cover,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/media/images/products/_i-abbyy-finereader-15-standard800.jpg
thumbnail,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/media/images/products/_i-abbyy-finereader-15-standard173.jpg
screenshot,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/media/images/products/_nxw5d6e42887783b.jpg
screenshot_thumbnail,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/_nxw5d6e42887783b.jpg
screenshot,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/media/images/products/_nxw5d6e428861296.jpg
screenshot_thumbnail,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/_nxw5d6e428861296.jpg
screenshot,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/media/images/products/_nxw5d6e42885667a.jpg
screenshot_thumbnail,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/cdn-cgi/image/height=100,width=200/media/images/products/_nxw5d6e42885667a.jpg
screenshot,"ABBYY FineReader PDF 15 Key (Perpetual Licence / 1 PC)",Other,https://static.kinguin.net/media/images/products/_nxw5d6e42886bb47.jpg
